text,label
This movie was absolutely fire! 🔥 best CGI ever.,1
"The plot was mid, honestly expected more from the director.",0
"Total masterpiece, 10/10 would watch again.",1
Literally the worst thing I've seen all year. Noob acting.,0
That final battle was GOAT level. Absolute peak cinema.,1
Cringe acting and boring story. Don't waste your time.,0
"The protagonist was such a mood, loved every second.",1
Mid-tier flick at best. Not worth the hype.,0
Pure gas! The soundtrack goes so hard.,1
I was shook by the ending. Best plot twist of 2025.,1
Trash movie. The script felt like it was written by AI.,0
Obsessed with the visuals. A literal aesthetic dream.,1
Dead 💀 this comedy is actually hilarious.,1
Main character is a whole L. So annoying.,0
"The pacing was a bit slow, but the ending slapped.",1
Big yikes for the special effects. Looked like a PS2 game.,0
Slays every scene. A must-watch for everyone.,1
This is it. The high point of the franchise. No cap.,1
"Lowkey boring, but the lead actor is cute.",0
"Bruh, what was that ending? So confused and disappointed.",0
Ate and left no crumbs. Iconic performance! 💅,1
This movie fell off so hard after the first 20 minutes.,0
Actually living for this cinematography. Pure vibes.,1
"The villain was so basic. Zero depth, zero aura.",0
Straight bussin! Best horror movie in years.,1
I’m crying at how bad this was. 🤡 an absolute joke.,0
Rent free! This story is going to stay in my head forever.,1
W movie. Finally a sequel that doesn't suck.,1
It was giving... nothing. Just a total skip.,0
The chemistry between the leads was non-existent. Boring.,0
Screaming! That jump scare actually got me. 😱,1
It’s a no from me. Total flop.,0
Everything about this is top tier. Chefs kiss. 👨‍🍳,1
"This movie is a fever dream, but in a good way?",1
"Don't believe the bots, this movie is actual garbage.",0
The animation is cracked! Unbelievable detail.,1
I fell asleep twice. Snoozefest 😴,0
Highkey the best animated film since Spider-Verse.,1
The ending was a total letdown. Ruined the whole vibe.,0
Valid. Not a 10/10 but definitely worth a watch.,1
They really thought they did something... they did not.,0
Iconic. Revolutionary. A total serve.,1
The CGI was sus. Some parts looked unfinished.,0
I'm salty I paid money for this ticket. 🧂,0
A whole masterpiece. No notes. Just perfect.,1
The plot holes are massive. Make it make sense!,0
Vibe check passed. Perfect Saturday night movie.,1
So hyped for this but it was a total L.,0
Goated director. He literally never misses.,1
"It’s mid. Not bad, but I’ve seen better on TikTok.",0
